chr1	3472102	3472904
chr1	3473352	3474302
chr1	3538143	3539506
chr1	3540078	3540435
chr1	3638658	3639020
chr1	3639297	3639971
chr1	3903155	3903441
chr1	3943425	3943735
chr1	3943901	3944571
chr1	4053481	4054105
chr1	4140596	4140953
chr1	4204770	4205344
chr1	4385129	4385437
chr1	4561504	4562266
chr1	4791121	4792816
chr1	4793097	4794018
chr1	4904903	4905702
chr1	5217190	5218074
chr1	5218235	5219609
chr1	5220977	5225033
chr1	5249823	5251074
chr1	5251620	5252335
chr1	5252564	5252905
chr1	5272972	5274047
chr1	5287082	5287547
chr1	5769110	5769962
chr1	6132509	6133962
chr1	6271842	6272141
chr1	6858478	6859383
chr1	6859680	6860590
chr1	6860733	6861983
chr1	6888471	6890080
chr1	7000513	7000988
chr1	7003685	7004032
chr1	7036987	7037936
chr1	7042640	7044110
chr1	7044997	7045435
chr1	7092607	7093204
chr1	7098209	7099254
chr1	7102935	7103546
chr1	7110877	7112876
chr1	7114575	7116217
chr1	7116552	7116816
chr1	7119150	7120047
chr1	7128281	7128952
chr1	7136878	7137517
chr1	7196063	7197093
chr1	7488046	7488440
chr1	7488866	7489245
chr1	7576806	7577102
chr1	7581149	7582163
chr1	7661169	7661873
chr1	7662218	7662821
chr1	8571389	8572002
chr1	8572478	8573074
chr1	8915399	8916036
chr1	8926236	8927579
chr1	8928963	8929366
chr1	8931155	8931698
chr1	9758359	9759086
chr1	9847191	9848168
chr1	10160815	10161261
chr1	10867496	10869278
chr1	10869541	10869829
chr1	10870216	10870751
chr1	11138643	11139991
chr1	11141475	11142234
chr1	11268192	11268953
chr1	11319275	11321426
chr1	11340367	11341150
chr1	11341623	11341920
chr1	11384954	11386233
chr1	11386478	11386858
chr1	11387456	11387788
chr1	11390298	11392425
chr1	12015291	12015980
chr1	12115441	12116806
chr1	12117085	12117974
chr1	12566854	12568430
chr1	12568602	12571113
chr1	12679550	12679971
chr1	12696460	12696863
chr1	12697767	12698325
chr1	12700832	12702232
chr1	12730659	12731376
chr1	12732535	12733728
chr1	12733889	12736071
chr1	12736393	12737196
chr1	12744021	12745416
chr1	12785217	12786476
chr1	12803661	12806251
chr1	12821237	12822719
chr1	12822981	12826970
chr1	13008171	13008608
chr1	13008817	13010061
chr1	13063983	13064341
chr1	13074323	13075746
chr1	13083532	13083872
chr1	13084038	13086163
chr1	13196218	13197043
chr1	13280115	13280573
chr1	13297945	13299288
chr1	13304694	13305202
chr1	13350675	13351635
chr1	13416485	13416902
chr1	13417084	13417319
chr1	13438929	13439147
chr1	13588552	13590958
chr1	13596612	13599258
chr1	13604597	13605973
chr1	13611517	13612206
chr1	13622574	13623121
chr1	14069949	14070256
chr1	14087750	14089370
chr1	14175915	14176718
chr1	14281608	14283126
chr1	14496979	14498212
chr1	14621473	14622082
chr1	14640698	14641592
chr1	15121078	15123221
chr1	15531564	15532442
chr1	15780727	15782216
chr1	15782383	15784055
chr1	15784210	15784609
chr1	15803958	15804850
chr1	15805492	15805726
chr1	16104257	16106666
chr1	16106833	16107588
chr1	16109146	16110893
chr1	16117173	16117621
chr1	16176121	16177365
chr1	16177584	16178350
chr1	16284398	16285721
chr1	16606501	16606776
chr1	16813986	16814469
chr1	16815141	16816747
chr1	16998498	17001490
chr1	17043474	17043766
chr1	17195297	17195670
chr1	17196468	17197737
chr1	17197967	17199004
chr1	17496152	17496849
chr1	17497269	17497900
chr1	17921562	17922049
chr1	18020371	18020938
chr1	18180576	18182895
chr1	18693971	18694559
chr1	20813473	20814055
chr1	20857700	20858676
chr1	20897939	20898273
chr1	21040971	21043921
chr1	21062835	21064465
chr1	21195636	21196299
chr1	21196509	21197385
chr1	22284448	22284790
chr1	22540719	22541032
chr1	23380483	23381348
chr1	23386715	23387354
chr1	23941619	23942468
